CustomerKey,First Name,Last Name,Full Name,Age,Gender,DateFirstPurchase,CommuteDistance,Customer City,Customer Country
11034,Ebony,Gonzalez,Ebony Gonzalez,69,Female,2011-02-01,5-10 Miles,North Sydney,Australia
11035,Wendy,Dominguez,Wendy Dominguez,68,Female,2011-02-06,1-2 Miles,Cranbourne,Australia
11036,Jennifer,Russell,Jennifer Russell,37,Female,2013-01-22,1-2 Miles,National City,United States
11037,Chloe,Garcia,Chloe Garcia,38,Female,2013-01-20,5-10 Miles,Cliffside,Canada
11038,Diana,Hernandez,Diana Hernandez,68,Female,2011-02-07,5-10 Miles,Lavender Bay,Australia
11039,Marc,Martin,Marc Martin,67,Male,2011-02-07,5-10 Miles,Wollongong,Australia
11040,Jesse,Murphy,Jesse Murphy,38,Male,2013-04-03,1-2 Miles,Tacoma,United States
11041,Amanda,Carter,Amanda Carter,38,Female,2013-01-14,1-2 Miles,Glendale,United States
11042,Megan,Sanchez,Megan Sanchez,39,Female,2013-01-21,0-1 Miles,Los Angeles,United States
11043,Nathan,Simmons,Nathan Simmons,40,Male,2013-05-08,5-10 Miles,Glendale,United States
11044,Adam,Flores,Adam Flores,67,Male,2011-02-28,1-2 Miles,Hervey Bay,Australia
11045,Leonard,Nara,Leonard Nara,66,Male,2013-04-10,1-2 Miles,Matraville,Australia
11046,Christine,Yuan,Christine Yuan,66,Female,2011-02-06,5-10 Miles,Lavender Bay,Australia
11047,Jaclyn,Lu,Jaclyn Lu,66,Female,2011-02-03,1-2 Miles,Geelong,Australia
11048,Jeremy,Powell,Jeremy Powell,65,Male,2011-02-10,5-10 Miles,Sunbury,Australia
11049,Carol,Rai,Carol Rai,35,Female,2013-03-09,5-10 Miles,Chula Vista,United States
11050,Alan,Zheng,Alan Zheng,64,Male,2011-02-20,5-10 Miles,Hobart,Australia
11051,Daniel,Johnson,Daniel Johnson,64,Male,2013-12-29,1-2 Miles,Caloundra,Australia
11052,Heidi,Lopez,Heidi Lopez,64,Female,2011-02-17,5-10 Miles,Matraville,Australia
11053,Ana,Price,Ana Price,35,Female,2013-01-17,1-2 Miles,San Diego,United States
11054,Deanna,Munoz,Deanna Munoz,64,Female,2011-02-03,5-10 Miles,Geelong,Australia
11055,Gilbert,Raje,Gilbert Raje,64,Male,2011-01-31,5-10 Miles,East Brisbane,Australia
11056,Michele,Nath,Michele Nath,63,Female,2011-02-26,5-10 Miles,Newcastle,Australia
11057,Carl,Andersen,Carl Andersen,51,Male,2011-02-22,1-2 Miles,Lane Cove,Australia
11058,Marc,Diaz,Marc Diaz,56,Male,2011-03-09,1-2 Miles,Findon,Australia
11059,Ashlee,Andersen,Ashlee Andersen,62,Female,2013-02-18,5-10 Miles,Townsville,Australia
11060,Jon,Zhou,Jon Zhou,62,Male,2011-03-19,5-10 Miles,Warrnambool,Australia
11061,Todd,Gao,Todd Gao,45,Male,2011-03-13,5-10 Miles,Gold Coast,Australia
11062,Noah,Powell,Noah Powell,40,Male,2013-01-07,5-10 Miles,Portland,United States
11063,Angela,Murphy,Angela Murphy,41,Female,2013-01-12,5-10 Miles,Redmond,United States
11064,Chase,Reed,Chase Reed,40,Male,2013-01-25,5-10 Miles,Downey,United States
11065,Jessica,Henderson,Jessica Henderson,42,Female,2013-02-10,1-2 Miles,La Jolla,United States
11066,Grace,Butler,Grace Butler,42,Female,2013-05-31,5-10 Miles,Lebanon,United States
11067,Caleb,Carter,Caleb Carter,39,Male,2013-08-18,5-10 Miles,Port Orchard,United States
11068,Tiffany,Liang,Tiffany Liang,55,Female,2013-04-30,5-10 Miles,Warrnambool,Australia
11069,Carolyn,Navarro,Carolyn Navarro,55,Female,2011-04-17,1-2 Miles,Gold Coast,Australia
11070,Willie,Raji,Willie Raji,61,Male,2011-04-28,5-10 Miles,Sunbury,Australia
11071,Linda,Serrano,Linda Serrano,61,Female,2013-03-01,5-10 Miles,Hawthorne,Australia
11072,Casey,Luo,Casey Luo,61,Female,2011-03-31,1-2 Miles,St. Leonards,Australia
11073,Amy,Ye,Amy Ye,59,Female,2013-03-23,5-10 Miles,Springwood,Australia
11074,Levi,Arun,Levi Arun,59,Male,2013-03-23,5-10 Miles,Cloverdale,Australia
11075,Felicia,Jimenez,Felicia Jimenez,58,Female,2011-04-28,5-10 Miles,Bendigo,Australia
11076,Blake,Anderson,Blake Anderson,58,Male,2011-04-21,5-10 Miles,Wollongong,Australia
11077,Leah,Ye,Leah Ye,58,Female,2011-04-15,1-2 Miles,Melton,Australia
11078,Gina,Martin,Gina Martin,36,Female,2013-02-15,1-2 Miles,Cliffside,Canada
11079,Donald,Gonzalez,Donald Gonzalez,51,Male,2013-03-15,0-1 Miles,Geelong,Australia
11080,Damien,Chander,Damien Chander,56,Male,2011-04-10,0-1 Miles,Perth,Australia
11081,Savannah,Baker,Savannah Baker,49,Female,2013-02-12,2-5 Miles,Concord,United States
11082,Angela,Butler,Angela Butler,49,Female,2013-01-22,1-2 Miles,Fremont,United States
11083,Alyssa,Cox,Alyssa Cox,44,Female,2013-01-06,1-2 Miles,Lincoln Acres,United States
11084,Lucas,Phillips,Lucas Phillips,58,Male,2013-01-04,1-2 Miles,Lebanon,United States
11085,Emily,Johnson,Emily Johnson,58,Female,2013-12-06,5-10 Miles,Newport Beach,United States
11086,Ryan,Brown,Ryan Brown,58,Male,2013-07-02,0-1 Miles,Santa Monica,United States
11087,Tamara,Liang,Tamara Liang,58,Female,2013-02-25,0-1 Miles,Chula Vista,United States
11088,Hunter,Davis,Hunter Davis,58,Male,2013-01-13,2-5 Miles,San Diego,United States
11089,Abigail,Price,Abigail Price,59,Female,2012-12-29,2-5 Miles,Long Beach,United States
11090,Trevor,Bryant,Trevor Bryant,53,Male,2011-08-07,2-5 Miles,Los Angeles,United States
11091,Dalton,Perez,Dalton Perez,59,Male,2013-01-29,5-10 Miles,Haney,Canada
11092,Cheryl,Diaz,Cheryl Diaz,49,Female,2011-04-08,1-2 Miles,East Brisbane,Australia
11093,Aimee,He,Aimee He,43,Female,2011-04-07,0-1 Miles,Wollongong,Australia
11094,Cedric,Ma,Cedric Ma,54,Male,2013-04-07,0-1 Miles,Cranbourne,Australia
11095,Chad,Kumar,Chad Kumar,53,Male,2011-04-01,5-10 Miles,Port Macquarie,Australia
11096,Andrés,Anand,Andrés Anand,53,Male,2011-04-11,5-10 Miles,North Sydney,Australia
11097,Edwin,Nara,Edwin Nara,49,Male,2011-04-04,5-10 Miles,Warrnambool,Australia
11098,Mallory,Rubio,Mallory Rubio,55,Female,2013-02-11,0-1 Miles,Rhodes,Australia
11099,Adam,Ross,Adam Ross,55,Male,2011-04-07,0-1 Miles,Port Macquarie,Australia
11100,Latasha,Navarro,Latasha Navarro,55,Female,2011-04-16,5-10 Miles,Cloverdale,Australia
11101,Abby,Sai,Abby Sai,51,Female,2011-04-29,0-1 Miles,Cranbourne,Australia
11102,Julia,Nelson,Julia Nelson,51,Female,2013-07-16,1-2 Miles,Sydney,Australia
11103,Cassie,Chande,Cassie Chande,40,Female,2011-04-15,5-10 Miles,Darlinghurst,Australia
11104,Edgar,Sara,Edgar Sara,46,Male,2011-05-04,0-1 Miles,Gold Coast,Australia
11105,Candace,Fernandez,Candace Fernandez,51,Female,2011-05-14,5-10 Miles,Matraville,Australia
11106,Jessie,Liu,Jessie Liu,51,Male,2011-05-18,5-10 Miles,Warrnambool,Australia
11107,Bianca,Lin,Bianca Lin,45,Female,2011-05-01,5-10 Miles,St. Leonards,Australia
11108,Kari,Alvarez,Kari Alvarez,52,Female,2011-05-03,0-1 Miles,Port Macquarie,Australia
11109,Ruben,Kapoor,Ruben Kapoor,41,Male,2011-05-10,0-1 Miles,South Melbourne,Australia
11110,Curtis,Yang,Curtis Yang,54,Male,2011-05-01,5-10 Miles,Darlinghurst,Australia
11111,Meredith,Gutierrez,Meredith Gutierrez,54,Female,2011-05-20,0-1 Miles,Geelong,Australia
11112,Crystal,Wang,Crystal Wang,53,Female,2011-05-25,0-1 Miles,Hervey Bay,Australia
11113,Micheal,Blanco,Micheal Blanco,48,Male,2013-02-01,5-10 Miles,Perth,Australia
11114,Leslie,Moreno,Leslie Moreno,54,Female,2013-03-18,5-10 Miles,Rhodes,Australia
11115,Alvin,Cai,Alvin Cai,54,Male,2013-02-10,0-1 Miles,St. Leonards,Australia
11116,Clinton,Carlson,Clinton Carlson,42,Male,2013-03-15,5-10 Miles,Sydney,Australia
11117,April,Deng,April Deng,55,Female,2011-05-06,10+ Miles,Matraville,Australia
11118,Alvin,Zeng,Alvin Zeng,59,Male,2013-07-10,0-1 Miles,Lavender Bay,Australia
11119,Evan,James,Evan James,81,Male,2013-02-03,0-1 Miles,Port Macquarie,Australia
11120,Beth,Jiménez,Beth Jiménez,79,Female,2011-05-14,5-10 Miles,Sydney,Australia
11121,Orlando,Suarez,Orlando Suarez,55,Male,2013-06-24,10+ Miles,Newcastle,Australia
11122,Byron,Vazquez,Byron Vazquez,56,Male,2013-02-21,5-10 Miles,North Sydney,Australia
11123,Philip,Alvarez,Philip Alvarez,56,Male,2013-04-17,10+ Miles,Sunbury,Australia
11124,Ross,Jordan,Ross Jordan,53,Male,2011-05-05,5-10 Miles,Warrnambool,Australia
11125,Dana,Navarro,Dana Navarro,60,Female,2013-01-31,5-10 Miles,Seaford,Australia
11126,Shaun,Carson,Shaun Carson,67,Male,2011-05-28,0-1 Miles,North Ryde,Australia
11127,Jan,Edwards,Jan Edwards,40,Female,2013-04-10,5-10 Miles,San Gabriel,United States
11128,Samantha,Long,Samantha Long,40,Female,2013-06-19,5-10 Miles,Renton,United States
11129,Julia,Wright,Julia Wright,40,Female,2011-08-06,5-10 Miles,Sedro Woolley,United States
11130,Caroline,Russell,Caroline Russell,36,Female,2013-12-09,5-10 Miles,Lebanon,United States
11131,Amanda,Rivera,Amanda Rivera,36,Female,2013-10-18,0-1 Miles,Haney,Canada
11132,Melissa,Richardson,Melissa Richardson,35,Female,2013-04-09,5-10 Miles,Langford,Canada
11133,Angela,Griffin,Angela Griffin,35,Female,2013-12-30,0-1 Miles,Lake Oswego,United States
11134,Larry,Townsend,Larry Townsend,64,Male,2011-05-03,5-10 Miles,Perth,Australia
11135,Marcus,Harris,Marcus Harris,36,Male,2013-04-18,5-10 Miles,Burlingame,United States
11136,Brianna,Morgan,Brianna Morgan,37,Female,2013-01-03,0-1 Miles,Metchosin,Canada
11137,Jasmine,Taylor,Jasmine Taylor,37,Female,2013-07-31,5-10 Miles,Spokane,United States
11138,Lauren,Davis,Lauren Davis,37,Female,2013-09-19,0-1 Miles,Glendale,United States
11139,Tanya,Moreno,Tanya Moreno,72,Female,2013-09-14,5-10 Miles,Cloverdale,Australia
11140,Javier,Alvarez,Javier Alvarez,39,Male,2013-03-19,5-10 Miles,Burbank,United States
11141,Nicole,Ramirez,Nicole Ramirez,39,Female,2013-05-16,0-1 Miles,Daly City,United States
11142,Eduardo,Patterson,Eduardo Patterson,38,Male,2013-02-13,0-1 Miles,Langford,Canada
11143,Jonathan,Henderson,Jonathan Henderson,39,Male,2013-06-15,5-10 Miles,Lakewood,United States
11144,Edward,Hernandez,Edward Hernandez,36,Male,2013-01-25,0-1 Miles,Ballard,United States
11145,Jasmine,Coleman,Jasmine Coleman,36,Female,2013-01-25,0-1 Miles,Beaverton,United States
11146,Karla,Goel,Karla Goel,76,Female,2013-02-05,5-10 Miles,Matraville,Australia
11147,Ernest,Wu,Ernest Wu,77,Male,2011-05-13,0-1 Miles,Warrnambool,Australia
11148,Ross,Vazquez,Ross Vazquez,74,Male,2013-03-07,5-10 Miles,East Brisbane,Australia
11149,Theodore,Gill,Theodore Gill,75,Male,2013-06-04,0-1 Miles,Hervey Bay,Australia
11150,Russell,Shen,Russell Shen,75,Male,2013-03-27,5-10 Miles,Sunbury,Australia
11151,Melinda,Gill,Melinda Gill,74,Female,2011-05-15,0-1 Miles,Sydney,Australia
11152,James,Williams,James Williams,40,Male,2013-01-09,5-10 Miles,Puyallup,United States
11153,Angela,James,Angela James,40,Female,2013-03-29,5-10 Miles,Renton,United States
11154,Megan,Walker,Megan Walker,39,Female,2013-01-10,5-10 Miles,Woodburn,United States
11155,Hunter,Robinson,Hunter Robinson,40,Male,2013-01-06,1-2 Miles,Burbank,United States
11156,Maria,Roberts,Maria Roberts,40,Female,2013-01-08,1-2 Miles,Lakewood,United States
11157,Hannah,Long,Hannah Long,41,Female,2013-07-24,5-10 Miles,Tacoma,United States
11158,Jason,Wright,Jason Wright,40,Male,2013-01-19,5-10 Miles,San Gabriel,United States
11159,Brianna,Hughes,Brianna Hughes,40,Female,2013-09-08,1-2 Miles,Woodland Hills,United States
11160,Maurice,Tang,Maurice Tang,42,Male,2013-02-21,5-10 Miles,Concord,United States
11161,Emily,Wood,Emily Wood,42,Female,2013-06-01,1-2 Miles,Concord,United States
11162,Chase,Cox,Chase Cox,42,Male,2013-02-18,5-10 Miles,La Jolla,United States
11163,Gabriel,Wang,Gabriel Wang,41,Male,2013-05-01,5-10 Miles,Spring Valley,United States
11164,Devin,Brooks,Devin Brooks,42,Male,2013-04-27,1-2 Miles,Torrance,United States
11165,Jocelyn,Alexander,Jocelyn Alexander,42,Female,2013-05-25,1-2 Miles,Oakland,United States
11166,Ashley,Martinez,Ashley Martinez,44,Female,2013-10-14,0-1 Miles,Olympia,United States
11167,Jasmine,Barnes,Jasmine Barnes,43,Female,2013-01-07,0-1 Miles,Issaquah,United States
11168,David,Rodriguez,David Rodriguez,48,Male,2013-01-15,0-1 Miles,Oakland,United States
11169,Bryce,Richardson,Bryce Richardson,48,Male,2013-05-26,0-1 Miles,Coronado,United States
11170,Carol,Howard,Carol Howard,48,Female,2013-08-26,0-1 Miles,Burien,United States
11171,Jonathan,Hill,Jonathan Hill,43,Male,2011-08-20,1-2 Miles,Woodland Hills,United States
11172,Gabrielle,Adams,Gabrielle Adams,48,Female,2013-05-03,1-2 Miles,Lynnwood,United States
11173,Sarah,Thomas,Sarah Thomas,48,Female,2013-03-02,0-1 Miles,W. Linn,United States
11174,Nicholas,Robinson,Nicholas Robinson,48,Male,2013-07-13,2-5 Miles,Los Angeles,United States
11175,Luis,Wang,Luis Wang,53,Male,2011-08-28,5-10 Miles,Beverly Hills,United States
11176,Mason,Roberts,Mason Roberts,42,Male,2013-02-02,1-2 Miles,Haney,Canada
11177,Jose,Flores,Jose Flores,73,Male,2013-03-29,5-10 Miles,San Diego,United States
11178,Nathan,Johnson,Nathan Johnson,67,Male,2013-02-21,1-2 Miles,Lakewood,United States
11179,Molly,Rodriguez,Molly Rodriguez,62,Female,2013-03-12,5-10 Miles,Beverly Hills,United States
11180,April,Anand,April Anand,73,Female,2013-03-17,0-1 Miles,Chula Vista,United States
11181,Devin,Martin,Devin Martin,61,Male,2013-05-07,0-1 Miles,Los Angeles,United States
11182,Stephanie,Torres,Stephanie Torres,71,Female,2013-08-28,10+ Miles,Sedro Woolley,United States
11183,Jasmine,Lee,Jasmine Lee,71,Female,2013-04-30,10+ Miles,Santa Cruz,United States
11184,Meghan,Hernandez,Meghan Hernandez,66,Female,2013-08-10,10+ Miles,Concord,United States
11185,Ashley,Henderson,Ashley Henderson,71,Female,2013-02-21,10+ Miles,Metchosin,Canada
11186,Sarah,Price,Sarah Price,72,Female,2013-10-18,10+ Miles,Palo Alto,United States
11187,Jennifer,Cooper,Jennifer Cooper,72,Female,2013-04-03,10+ Miles,Burien,United States
11188,Catherine,Morris,Catherine Morris,71,Female,2013-11-01,1-2 Miles,San Gabriel,United States
11189,Lawrence,Blanco,Lawrence Blanco,71,Male,2011-08-26,10+ Miles,Bellingham,United States
11190,Carson,Bryant,Carson Bryant,72,Male,2013-08-28,10+ Miles,Beverly Hills,United States
11191,Kristi,Perez,Kristi Perez,70,Female,2011-08-11,10+ Miles,Colma,United States
11192,James,Brown,James Brown,70,Male,2013-06-23,2-5 Miles,Seattle,United States
11193,Ian,Gray,Ian Gray,71,Male,2013-02-25,2-5 Miles,Woodburn,United States
11194,Jacqueline,Price,Jacqueline Price,71,Female,2013-03-13,2-5 Miles,Palo Alto,United States
11195,Megan,Henderson,Megan Henderson,70,Female,2013-04-14,10+ Miles,Renton,United States
11196,Alfredo,Romero,Alfredo Romero,70,Male,2013-03-03,10+ Miles,Beaverton,United States
11197,Andrea,Morris,Andrea Morris,70,Female,2013-05-02,1-2 Miles,Seattle,United States
11198,Brooke,Sanders,Brooke Sanders,69,Female,2013-02-05,10+ Miles,Santa Cruz,United States
11199,Jacqueline,Bennett,Jacqueline Bennett,64,Female,2013-03-18,10+ Miles,Burlingame,United States
11200,Jason,Griffin,Jason Griffin,68,Male,2013-02-07,1-2 Miles,Victoria,Canada
11201,Amanda,Foster,Amanda Foster,68,Female,2013-07-01,10+ Miles,Santa Monica,United States
11202,Alexia,Price,Alexia Price,63,Female,2013-09-15,1-2 Miles,Lakewood,United States
11203,Luis,Diaz,Luis Diaz,62,Male,2013-02-20,10+ Miles,Port Hammond,Canada
11204,Destiny,Rivera,Destiny Rivera,68,Female,2013-08-09,2-5 Miles,Beaverton,United States
11205,Abby,Fernandez,Abby Fernandez,67,Female,2013-07-27,10+ Miles,Burien,United States
11206,Blake,Flores,Blake Flores,67,Male,2013-05-11,10+ Miles,Lynnwood,United States
11207,Danielle,Cox,Danielle Cox,67,Female,2013-01-31,10+ Miles,Renton,United States
11208,Maria,Reed,Maria Reed,68,Female,2013-03-04,10+ Miles,Glendale,United States
11209,Allison,Evans,Allison Evans,68,Female,2013-03-25,10+ Miles,Lincoln Acres,United States
11210,Edward,Wood,Edward Wood,68,Male,2013-05-06,10+ Miles,West Covina,United States
11211,Samantha,Russell,Samantha Russell,61,Female,2013-02-01,2-5 Miles,Haney,Canada
11212,Chloe,Campbell,Chloe Campbell,66,Female,2013-01-30,2-5 Miles,Metchosin,Canada
11213,Stephanie,Murphy,Stephanie Murphy,67,Female,2013-03-28,10+ Miles,Edmonds,United States
11214,Charles,Miller,Charles Miller,66,Male,2013-08-14,10+ Miles,Milwaukie,United States
11215,Ana,Perry,Ana Perry,60,Female,2013-02-15,10+ Miles,Royal Oak,Canada
11216,Jasmine,Torres,Jasmine Torres,66,Female,2011-08-15,10+ Miles,Portland,United States
11217,Natalie,Adams,Natalie Adams,66,Female,2011-08-10,10+ Miles,Portland,United States
11218,Olivia,Brown,Olivia Brown,60,Female,2013-02-28,2-5 Miles,Tacoma,United States
11219,Charles,Cook,Charles Cook,65,Male,2013-10-29,10+ Miles,Woodburn,United States
11220,Erica,Huang,Erica Huang,60,Female,2013-03-14,10+ Miles,Colma,United States
11221,Nathan,Perry,Nathan Perry,66,Male,2013-04-07,1-2 Miles,Lakewood,United States
11222,Alexandra,Rivera,Alexandra Rivera,65,Female,2013-11-01,1-2 Miles,Santa Monica,United States
11223,Hailey,Patterson,Hailey Patterson,64,Female,2013-01-29,2-5 Miles,Langley,Canada
11224,Tiffany,Li,Tiffany Li,64,Female,2011-08-07,10+ Miles,Burien,United States
11225,Madison,Lee,Madison Lee,59,Female,2013-06-22,10+ Miles,Renton,United States
11226,Sydney,Ross,Sydney Ross,59,Female,2013-02-21,2-5 Miles,W. Linn,United States
11227,Marshall,Chavez,Marshall Chavez,59,Male,2011-08-03,10+ Miles,Colma,United States
11228,Ashley,Jones,Ashley Jones,65,Female,2013-10-25,10+ Miles,El Cajon,United States
11229,Adrian,Stewart,Adrian Stewart,64,Male,2013-07-27,10+ Miles,Redwood City,United States
11230,Amber,Turner,Amber Turner,65,Female,2013-07-16,2-5 Miles,Santa Monica,United States
11231,Dennis,Zhang,Dennis Zhang,58,Male,2013-02-10,10+ Miles,Bremerton,United States
11232,Hailey,Bryant,Hailey Bryant,63,Female,2013-09-20,2-5 Miles,Everett,United States
11233,Todd,Li,Todd Li,58,Male,2013-02-08,10+ Miles,Berkeley,United States
11234,Anna,Griffin,Anna Griffin,63,Female,2013-02-08,10+ Miles,Long Beach,United States
11235,Angel,Stewart,Angel Stewart,64,Male,2013-07-04,10+ Miles,Ballard,United States
11236,Jeremy,Butler,Jeremy Butler,64,Male,2013-10-03,10+ Miles,Bellingham,United States
11237,Clarence,Anand,Clarence Anand,57,Male,2011-09-05,0-1 Miles,Solingen,Germany
11238,Mayra,Prasad,Mayra Prasad,57,Female,2011-01-06,0-1 Miles,Birmingham,United Kingdom
11239,Latoya,Goel,Latoya Goel,52,Female,2011-01-19,5-10 Miles,London,United Kingdom
11240,Anne,Hernandez,Anne Hernandez,57,Female,2011-02-27,5-10 Miles,Watford,United Kingdom
11241,Lisa,Cai,Lisa Cai,47,Female,2012-09-10,5-10 Miles,Les Ulis,France
11242,Larry,Munoz,Larry Munoz,58,Male,2012-09-19,5-10 Miles,Versailles,France
11243,Robin,Alvarez,Robin Alvarez,58,Female,2011-02-21,0-1 Miles,Esher-Molesey,United Kingdom
11244,Alexis,Coleman,Alexis Coleman,53,Female,2011-02-12,0-1 Miles,Runcorn,United Kingdom
11245,Ricky,Vazquez,Ricky Vazquez,59,Male,2011-09-26,5-10 Miles,Hamburg,Germany
11246,Latasha,Rubio,Latasha Rubio,59,Female,2011-10-03,5-10 Miles,Hamburg,Germany
11247,Claudia,Zhou,Claudia Zhou,60,Female,2011-02-18,0-1 Miles,Lancaster,United Kingdom
11248,Tristan,Alexander,Tristan Alexander,55,Male,2013-07-14,10+ Miles,Saint-Denis,France
11249,Cindy,Patel,Cindy Patel,55,Female,2011-10-09,0-1 Miles,Sulzbach Taunus,Germany
11250,Shannon,Liu,Shannon Liu,55,Female,2011-03-17,5-10 Miles,Woolston,United Kingdom
11251,Xavier,Long,Xavier Long,83,Male,2013-10-18,5-10 Miles,Haney,Canada
11252,Nicholas,Thompson,Nicholas Thompson,84,Male,2011-08-14,2-5 Miles,Lemon Grove,United States
11253,José,Hernandez,José Hernandez,72,Male,2013-03-01,1-2 Miles,Victoria,Canada
11254,Johnathan,Vance,Johnathan Vance,83,Male,2013-11-23,5-10 Miles,Burien,United States
11255,Colin,Lin,Colin Lin,83,Male,2013-02-23,5-10 Miles,Burien,United States
11256,Katelyn,Hernandez,Katelyn Hernandez,82,Female,2013-04-15,5-10 Miles,Lynnwood,United States
11257,Jacqueline,Powell,Jacqueline Powell,83,Female,2011-08-24,2-5 Miles,Newport Beach,United States
11258,Xavier,Hill,Xavier Hill,83,Male,2013-05-21,2-5 Miles,Palo Alto,United States
11259,Victoria,Stewart,Victoria Stewart,51,Female,2011-09-04,2-5 Miles,Salem,United States
11260,Katelyn,Kelly,Katelyn Kelly,45,Female,2013-02-05,2-5 Miles,Burlingame,United States
11261,Stephanie,Collins,Stephanie Collins,51,Female,2011-09-27,0-1 Miles,San Diego,United States
11262,Jennifer,Simmons,Jennifer Simmons,46,Female,2013-02-27,0-1 Miles,Port Hammond,Canada
11263,Trinity,Richardson,Trinity Richardson,51,Female,2011-08-29,2-5 Miles,Burien,United States
11264,Eduardo,Martin,Eduardo Martin,52,Male,2013-01-02,0-1 Miles,Issaquah,United States
11265,Elizabeth,Jones,Elizabeth Jones,51,Female,2013-01-03,0-1 Miles,Kirkland,United States
11266,Taylor,Howard,Taylor Howard,52,Female,2011-09-10,5-10 Miles,Port Orchard,United States
11267,David,Diaz,David Diaz,46,Male,2011-09-17,2-5 Miles,Burlingame,United States
11268,Katelyn,Carter,Katelyn Carter,52,Female,2013-05-29,1-2 Miles,Coronado,United States
11269,Ryan,Foster,Ryan Foster,46,Male,2013-08-22,0-1 Miles,Daly City,United States
11270,Robert,Lee,Robert Lee,46,Male,2011-09-10,0-1 Miles,Lakewood,United States
11271,Danielle,Reed,Danielle Reed,52,Female,2011-09-27,1-2 Miles,San Francisco,United States
11272,Lauren,Martinez,Lauren Martinez,59,Female,2011-09-19,5-10 Miles,Beverly Hills,United States
11273,Nathan,Lal,Nathan Lal,59,Male,2013-05-14,10+ Miles,La Jolla,United States
11274,Kyle,Foster,Kyle Foster,82,Male,2011-08-29,5-10 Miles,Bellingham,United States
11275,Jenny,Rai,Jenny Rai,82,Female,2011-08-30,0-1 Miles,Colma,United States
11276,Nancy,Chapman,Nancy Chapman,47,Female,2013-01-29,2-5 Miles,Cliffside,Canada
11277,Charles,Jackson,Charles Jackson,53,Male,2013-02-02,0-1 Miles,Royal Oak,Canada
